"Mortality rate, infant (per 1,000 live births)"
"29","Malta","9.9","..","8.3","..","6.8","..","6.0","..","5.9","..","6.0","..","6.0","..","6.0","..","6.0","..","6.0","..","5.9",".."
"106","Marshall Islands","39.9","..","34.0","..","32.9","..","32.3","..","31.8","..","31.7","..","31.4","..","31.0","..","30.4","..","29.8","..","29.1",".."
"159","Mauritania","71.0","..","69.3","..","69.4","..","67.7","..","62.1","..","60.8","..","59.5","..","58.3","..","57.0","..","55.7","..","54.4",".."
"65","Mauritius","19.7","..","19.4","..","16.3","..","13.9","..","13.3","..","13.2","..","13.1","..","13.1","..","13.1","..","12.7","..","12.2",".."
"74","Mexico","36.5","..","29.2","..","22.5","..","17.6","..","14.8","..","14.4","..","14.0","..","13.6","..","13.3","..","12.9","..","12.6",".."
"131","Micronesia (Federated States of)","42.7","..","42.7","..","41.4","..","37.1","..","32.4","..","31.5","..","30.7","..","29.9","..","29.1","..","28.3","..","27.5",".."
"112","Moldova (Republic of)","27.3","..","31.1","..","25.9","..","16.7","..","14.7","..","14.6","..","14.4","..","14.3","..","14.1","..","13.9","..","13.7",".."
"n.a","Monaco","6.3","..","5.1","..","4.2","..","3.7","..","3.2","..","3.2","..","3.1","..","3.0","..","2.9","..","2.8","..","2.8",".."
"92","Mongolia","77.3","..","63.5","..","48.6","..","33.4","..","22.0","..","20.3","..","19.0","..","17.8","..","16.9","..","16.1","..","15.4",".."
"50","Montenegro","14.8","..","13.7","..","12.8","..","9.6","..","6.2","..","5.6","..","5.0","..","4.6","..","4.2","..","3.8","..","3.5",".."
"123","Morocco","62.8","..","51.6","..","42.0","..","34.6","..","28.8","..","27.8","..","26.8","..","25.8","..","25.0","..","24.1","..","23.3",".."
"180","Mozambique","165.1","..","151.2","..","117.5","..","89.8","..","70.1","..","66.1","..","62.7","..","59.8","..","57.2","..","55.1","..","53.1",".."
"148","Myanmar","81.8","..","73.4","..","65.6","..","57.8","..","49.3","..","47.6","..","45.9","..","44.3","..","42.8","..","41.4","..","40.1",".."
"129","Namibia","48.4","..","46.2","..","48.5","..","44.1","..","40.5","..","39.2","..","39.3","..","36.9","..","35.1","..","34.5","..","32.3",".."
"n.a","Nauru","45.3","..","38.5","..","33.3","..","31.6","..","32.0","..","31.6","..","31.1","..","30.5","..","29.9","..","29.2","..","28.5",".."
"149","Nepal","97.9","..","77.2","..","60.3","..","47.3","..","37.4","..","35.7","..","34.1","..","32.5","..","31.0","..","29.6","..","28.4",".."
"10","Netherlands","6.8","..","5.7","..","5.1","..","4.5","..","3.8","..","3.6","..","3.5","..","3.5","..","3.4","..","3.3","..","3.2",".."
"16","New Zealand","9.2","..","7.1","..","6.1","..","5.4","..","5.1","..","5.0","..","5.0","..","4.9","..","4.7","..","4.6","..","4.5",".."
"124","Nicaragua","51.3","..","41.7","..","32.7","..","26.1","..","20.8","..","20.0","..","19.3","..","18.6","..","17.9","..","17.3","..","16.8",".."
"189","Niger","132.7","..","115.2","..","97.6","..","79.3","..","62.4","..","59.8","..","57.5","..","55.6","..","53.8","..","52.3","..","50.9",".."
"157","Nigeria","126.2","..","123.6","..","112.3","..","96.5","..","81.1","..","78.3","..","75.7","..","73.3","..","71.0","..","69.0","..","66.9",".."
"1","Norway","7.0","..","4.6","..","4.0","..","3.2","..","2.6","..","2.5","..","2.4","..","2.3","..","2.3","..","2.2","..","2.1",".."
"48","Oman","31.8","..","20.7","..","14.3","..","11.0","..","10.0","..","9.9","..","9.8","..","9.6","..","9.5","..","9.3","..","9.2",".."
"150","Pakistan","106.2","..","97.3","..","88.1","..","80.3","..","73.6","..","72.2","..","70.7","..","69.1","..","67.3","..","65.7","..","64.2",".."
"60","Palau","30.9","..","27.0","..","22.9","..","19.4","..","16.5","..","16.0","..","15.5","..","15.1","..","14.6","..","14.1","..","13.7",".."
"119","Palestine, State of","35.7","..","29.4","..","24.9","..","22.0","..","19.5","..","19.1","..","18.6","..","18.1","..","17.6","..","17.1","..","16.6",".."
"66","Panama","25.8","..","23.6","..","21.9","..","19.4","..","16.8","..","16.3","..","15.8","..","15.4","..","14.9","..","14.5","..","14.1",".."
"153","Papua New Guinea","64.4","..","60.4","..","57.5","..","54.9","..","49.8","..","48.5","..","47.3","..","46.0","..","44.9","..","43.8","..","42.4",".."
"110","Paraguay","37.1","..","31.9","..","27.7","..","23.8","..","20.4","..","19.8","..","19.2","..","18.6","..","18.1","..","17.6","..","17.0",".."
"89","Peru","56.7","..","42.9","..","29.5","..","20.9","..","15.7","..","14.9","..","14.1","..","13.5","..","12.9","..","12.4","..","11.9",".."
"113","Philippines","40.8","..","33.5","..","30.0","..","27.5","..","24.9","..","24.4","..","23.9","..","23.3","..","22.7","..","22.1","..","21.5",".."
"33","Poland","15.2","..","12.7","..","8.1","..","6.5","..","5.2","..","4.9","..","4.6","..","4.5","..","4.3","..","4.2","..","4.0",".."
"41","Portugal","11.5","..","7.4","..","5.5","..","3.7","..","3.1","..","3.1","..","3.0","..","3.0","..","2.9","..","2.9","..","2.9",".."
"37","Qatar","17.8","..","13.2","..","10.8","..","8.9","..","7.7","..","7.6","..","7.5","..","7.4","..","7.4","..","7.4","..","7.3",".."
